uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_gbp,scholarship_amount_gbp,after_scholarship_fee_gbp,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
University of Southampton,https://www.southampton.ac.uk,Southampton,United Kingdom,50.9351,-1.3962,"University Road, Southampton SO17 1BJ",Global Scholarship for International Masters,https://www.southampton.ac.uk/study/fees-funding/scholarships/postgraduate/global-scholarship,Masters,Engineering|Computer Science|Business,23500,5000,18500,3.2,2026-05-31,"Transcripts|IELTS 6.5+|Personal Statement|CV","international@southampton.ac.uk","",+44 23 8059 5000,"1.Submit Masters application to Southampton|2.Receive conditional offer|3.Submit scholarship form through Applicant Portal|4.Provide academic statement and CV|5.Award announced with admission decision",true,true
University of Glasgow,https://www.gla.ac.uk,Glasgow,United Kingdom,55.8721,-4.2883,"University Avenue, Glasgow G12 8QQ",Glasgow International Leadership Scholarship,https://www.gla.ac.uk/scholarships/,Masters,All Fields,23000,6000,17000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Leadership Statement|References","international@glasgow.ac.uk","",+44 141 330 2000,"1.Apply for eligible Glasgow Masters|2.Receive admission offer|3.Complete scholarship application via MyCampus|4.Write leadership statement (500 words)|5.Panel review and award by July 2026",true,true
Durham University,https://www.durham.ac.uk,Durham,United Kingdom,54.7753,-1.5849,"The Palatine Centre, Stockton Road, Durham DH1 3LE",Durham Masters Scholarship,https://www.durham.ac.uk/study/postgraduate/fees-and-funding/scholarships/international/,Masters,All Fields,24000,5000,19000,3.3,2026-04-01,"Transcripts|IELTS 6.5+|Personal Statement","pg.admissions@durham.ac.uk","",+44 191 334 2000,"1.Apply for Durham Masters programme|2.Receive offer of admission|3.Apply for scholarship via Durham portal|4.Submit personal statement and transcripts|5.Award notification by May 2026",true,true
University of Exeter,https://www.exeter.ac.uk,Exeter,United Kingdom,50.7352,-3.5337,"Northcote House, Queen's Drive, Exeter EX4 4QJ",Global Excellence Scholarship,https://www.exeter.ac.uk/study/funding/awards/globalexcellence/,Masters,All Fields,22000,5000,17000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement","international@exeter.ac.uk","",+44 1392 723044,"1.Apply for Exeter Masters programme|2.Receive and accept admission offer|3.Complete Global Excellence Scholarship application|4.Upload transcripts + personal statement|5.Decision within 4 weeks of completion",true,true
University of York,https://www.york.ac.uk,York,United Kingdom,53.9474,-1.0313,"Heslington, York YO10 5DD",York Masters Global Excellence Scholarship,https://www.york.ac.uk/study/postgraduate-taught/fees-funding/scholarships/global-excellence/,Masters,All Fields,21500,5000,16500,3.0,2026-06-30,"Transcripts|IELTS 6.5+|Supporting Statement","pg-admissions@york.ac.uk","",+44 1904 320000,"1.Apply for eligible York Masters programme|2.Receive offer from York|3.Complete online scholarship application|4.Submit supporting academic statement|5.Award based on academic merit — decisions monthly",true,true
Lancaster University,https://www.lancaster.ac.uk,Lancaster,United Kingdom,54.0104,-2.7877,"Bailrigg, Lancaster LA1 4YW",Lancaster Global Scholarship (Taught Masters),https://www.lancaster.ac.uk/study/fees-and-funding/scholarships-for-international-students/,Masters,All Fields,21000,5000,16000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international@lancaster.ac.uk","",+44 1524 65201,"1.Apply to Lancaster Masters programme|2.Receive offer of admission|3.Submit scholarship form on Lancaster applicant portal|4.Upload personal statement and transcripts|5.Scholarship awarded on merit rolling basis",true,true
Cardiff University,https://www.cardiff.ac.uk,Cardiff,United Kingdom,51.4972,-3.1815,"Cardiff CF10 3AT",Vice-Chancellor's International Scholarship,https://www.cardiff.ac.uk/study/postgraduate/funding/view/vice-chancellors-international-scholarships,Masters,All Fields,21000,5000,16000,3.0,2026-06-30,"Transcripts|IELTS 6.5+|SOP|References","international@cardiff.ac.uk","",+44 29 2087 4000,"1.Apply for Cardiff Masters|2.Receive conditional or unconditional offer|3.Apply via Cardiff online scholarship portal|4.Submit SOP and references|5.Decisions by July 2026",true,true
Newcastle University,https://www.ncl.ac.uk,Newcastle upon Tyne,United Kingdom,54.9806,-1.6167,"Newcastle upon Tyne NE1 7RU",Newcastle Vice-Chancellor's Excellence Scholarship,https://www.ncl.ac.uk/postgraduate/fees-funding/scholarships/international/,Masters,All Fields,22000,5000,17000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Academic Reference","pg.enquiries@ncl.ac.uk","",+44 191 208 6000,"1.Apply for Newcastle Masters online|2.Receive offer of admission|3.Apply via Newcastle scholarship portal|4.Submit academic reference and transcripts|5.Award decisions on rolling basis from Feb 2026",true,true
Heriot-Watt University,https://www.hw.ac.uk,Edinburgh,United Kingdom,55.9093,-3.3213,"Edinburgh Campus, Edinburgh EH14 4AS",Global Scholarship (Postgraduate Taught),https://www.hw.ac.uk/uk/study/financial-support/global-scholarship.htm,Masters,Engineering|Business|Computer Science,21000,4000,17000,3.0,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement","international@hw.ac.uk","",+44 131 449 5111,"1.Apply for Masters at Heriot-Watt|2.Receive unconditional offer|3.Complete scholarship application online|4.Submit personal statement + transcripts|5.Award within 4 weeks of eligible offer",true,true
University of St Andrews,https://www.st-andrews.ac.uk,St Andrews,United Kingdom,56.3398,-2.7967,"College Gate, St Andrews KY16 9AJ",St Leonard's Masters Scholarship,https://www.st-andrews.ac.uk/study/fees-and-funding/postgraduate/scholarships-and-funding/,Masters,All Fields,24000,5000,19000,3.4,2026-04-30,"Transcripts|IELTS 6.5+|Personal Statement|2 References","admissions@st-andrews.ac.uk","",+44 1334 476161,"1.Apply for St Andrews Masters programme|2.Receive offer of admission|3.Apply for scholarship via Student Services Centre|4.Provide academic references and transcripts|5.Award by May–June 2026",true,true
University of Reading,https://www.reading.ac.uk,Reading,United Kingdom,51.4412,-0.9374,"Whiteknights, Reading RG6 6UR",GREAT Scholarship UK (Reading),https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,Masters,All Fields,20000,10000,10000,3.0,2026-04-30,"Transcripts|IELTS 6.5+|Personal Statement|Financial Evidence","international@reading.ac.uk","",+44 118 987 5123,"1.Search for Reading GREAT Scholarship on British Council portal|2.Apply for Masters programme at Reading|3.Complete GREAT scholarship application separately|4.Submit financial evidence + personal statement|5.British Council and university jointly select awardees",true,true
Swansea University,https://www.swansea.ac.uk,Swansea,United Kingdom,51.6214,-3.8843,"Singleton Park, Swansea SA2 8PP",GREAT Scholarship UK (Swansea),https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,Masters,Engineering|Science|Business,19000,10000,9000,3.0,2026-04-30,"Transcripts|IELTS 6.5+|Personal Statement","international@swansea.ac.uk","",+44 1792 205678,"1.Visit British Council GREAT Scholarships page|2.Select Swansea University as preferred institution|3.Apply for Masters programme at Swansea|4.Submit personal statement on study goals|5.Award notification within 6 weeks of complete application",true,true
University of Sussex,https://www.sussex.ac.uk,Brighton,United Kingdom,50.8653,-0.0878,"Falmer, Brighton BN1 9RH",Chancellor's International Scholarships,https://www.sussex.ac.uk/study/fees-and-funding/postgraduate/scholarships-and-bursaries/chancellors-international-scholarships,Masters,All Fields,19500,5000,14500,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international-scholarships@sussex.ac.uk","",+44 1273 606755,"1.Apply to Sussex Masters programme online|2.Receive offer of admission|3.Complete Chancellor's Scholarship application|4.Upload personal statement and transcripts|5.Rolling decisions — apply early for best chance",true,true
Loughborough University,https://www.lboro.ac.uk,Loughborough,United Kingdom,52.7668,-1.2134,"Loughborough LE11 3TU",Future Leaders Scholarship,https://www.lboro.ac.uk/international/scholarships/future-leaders-scholarship/,Masters,All Fields,21000,5000,16000,3.2,2026-07-31,"Transcripts|IELTS 6.5+|Leadership Essay|References","international-office@lboro.ac.uk","",+44 1509 222222,"1.Apply for Loughborough Masters programme|2.Receive offer from university|3.Write 500-word leadership essay explaining impact goals|4.Submit with references and transcripts|5.Panel reviews in June–August 2026",true,true
