uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_usd,scholarship_amount_usd,after_scholarship_fee_usd,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
Boston University,https://www.bu.edu,Boston,USA,42.3505,-71.1054,"One Silber Way, Boston MA 02215",BU Dean's Fellowship,https://www.bu.edu/admissions/paying-your-education/scholarships-grants/,Masters,All Fields,54000,15000,39000,3.4,2026-01-15,"Transcripts|GRE|TOEFL 80+|SOP|2 References","gradadm@bu.edu","",+1 617 353 2000,"1.Apply to BU Graduate School|2.Dean's Fellowship auto-considered|3.Upload academic transcripts and scores|4.Submit SOP and 2 references|5.Award with admissions decision",true,false
Georgetown University,https://www.georgetown.edu,Washington,USA,38.9076,-77.0723,"37th and O Streets NW, Washington DC 20057",Georgetown Graduate Merit Award,https://graduate.georgetown.edu/funding-your-degree/,Masters,All Fields,52000,15000,37000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 100+|SOP|3 References","grad-admissions@georgetown.edu","",+1 202 687 5568,"1.Apply to Georgetown Masters|2.Merit award auto-considered|3.Upload academic documents and test scores|4.Provide SOP and references|5.Award decisions by April 2026",true,false
University of Illinois Urbana-Champaign,https://illinois.edu,Urbana,USA,40.1020,-88.2272,"601 E John St, Champaign IL 61820",UIUC Graduate College Fellowship,https://grad.illinois.edu/fellowship,Masters,All Fields,16000,10000,6000,3.3,2026-01-01,"Transcripts|GRE|TOEFL 79+|SOP|3 References","gradinfo@illinois.edu","",+1 217 333 0035,"1.Apply via UIUC graduate application|2.Fellowship auto-considered on merit|3.Upload academic transcripts and scores|4.Submit SOP and references|5.Award decisions by March 2026",true,false
Ohio State University,https://www.osu.edu,Columbus,USA,40.0076,-83.0305,"154 W 12th Avenue, Columbus OH 43210",OSU Graduate Fellowship Award,https://gradsch.osu.edu/fellowships-awards,Masters,All Fields,12000,8000,4000,3.2,2026-01-15,"Transcripts|GRE|TOEFL 79+|SOP|3 References","gradadmissions@osu.edu","",+1 614 292 6031,"1.Apply to OSU Graduate School|2.Fellowship application submitted separately|3.Upload transcripts and test scores|4.Provide SOP and references|5.Award notification by April 2026",true,true
University of Texas at Austin,https://www.utexas.edu,Austin,USA,30.2849,-97.7341,"110 Inner Campus Drive, Austin TX 78705",UT Austin Graduate School Fellowship,https://gradschool.utexas.edu/funding/fellowships,Masters,All Fields,12000,8000,4000,3.2,2026-01-15,"Transcripts|GRE|TOEFL 79+|SOP|3 References","gradadmissions@austin.utexas.edu","",+1 512 471 3527,"1.Apply for UT Austin Masters|2.Fellowship auto-considered in application|3.Upload academic documents|4.Submit SOP and references|5.Award decisions by April 2026",true,false
Georgia Institute of Technology,https://www.gatech.edu,Atlanta,USA,33.7756,-84.3963,"225 North Avenue NW, Atlanta GA 30332",Georgia Tech Graduate Fellowship,https://grad.gatech.edu/fellowships,Masters,Engineering|Computer Science|Data Science,16000,10000,6000,3.4,2026-01-15,"Transcripts|GRE|TOEFL 80+|SOP|3 References","grad.ask@grad.gatech.edu","",+1 404 894 4451,"1.Apply for Georgia Tech Masters|2.Fellowship auto-included in application|3.Upload all academic documents|4.Submit SOP and references|5.Award decisions with admissions",true,false
Purdue University,https://www.purdue.edu,West Lafayette,USA,40.4259,-86.9081,"610 Purdue Mall, West Lafayette IN 47907",Purdue Masters Fellowship,https://www.purdue.edu/gradschool/prospective/assistantships-fellowships/,Masters,Engineering|Science|Technology,12000,8000,4000,3.3,2026-01-15,"Transcripts|GRE|TOEFL 77+|SOP|3 References","gradinfo@purdue.edu","",+1 765 494 2600,"1.Apply to Purdue Graduate School|2.Fellowship nomination by department|3.Upload academic documents and scores|4.Provide SOP and references|5.Award decisions by April 2026",true,false
University of Wisconsin-Madison,https://www.wisc.edu,Madison,USA,43.0766,-89.4125,"500 Lincoln Drive, Madison WI 53706",Wisconsin Alumni Research Foundation Fellowship,https://grad.wisc.edu/funding/fellowships/,Masters,All Fields,12000,8000,4000,3.3,2026-01-05,"Transcripts|GRE|TOEFL 92+|SOP|3 References","grad@wisc.edu","",+1 608 262 2433,"1.Apply to UW-Madison Graduate School|2.WARF Fellowship auto-considered|3.Upload transcripts and test scores|4.Submit SOP and references|5.Award notification by April 2026",true,false
Arizona State University,https://www.asu.edu,Tempe,USA,33.4255,-111.9400,"University Drive and Mill Avenue, Tempe AZ 85281",ASU University Graduate Fellowship,https://graduate.asu.edu/current-students/funding-opportunities/awards-and-fellowships,Masters,All Fields,12000,6000,6000,3.0,2026-03-01,"Transcripts|TOEFL 80+|SOP|2 References","gradadmissions@asu.edu","",+1 480 965 6113,"1.Apply to ASU graduate programme|2.Fellowship auto-considered on merit|3.Upload academic documents|4.Submit SOP and references|5.Rolling decisions throughout year",true,false
Tufts University,https://www.tufts.edu,Medford,USA,42.4075,-71.1190,"Medford, MA 02155",Tufts Graduate Merit Award,https://graduate.admissions.tufts.edu/financing-graduate-school/fellowships-and-awards/,Masters,All Fields,57000,10000,47000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 100+|SOP|3 References","gradadm@tufts.edu","",+1 617 627 3395,"1.Apply to Tufts Graduate School|2.Merit award auto-considered|3.Upload complete academic record|4.Submit SOP and references|5.Award with admissions decision",true,false
University of Minnesota,https://www.umn.edu,Minneapolis,USA,44.9740,-93.2277,"100 Church Street SE, Minneapolis MN 55455",Minnesota Graduate School Fellowship,https://grad.umn.edu/funding/fellowships,Masters,All Fields,16000,8000,8000,3.2,2026-01-15,"Transcripts|GRE|TOEFL 79+|SOP|3 References","onestop@umn.edu","",+1 612 625 0027,"1.Apply to University of Minnesota Graduate School|2.Fellowship application through graduate portal|3.Upload academic documents|4.Submit SOP and references|5.Award by April 2026",true,true
Penn State University,https://www.psu.edu,University Park,USA,40.7982,-77.8599,"201 Old Main, University Park PA 16802",Penn State Graduate Research Fellowship,https://www.psu.edu/academics/graduate/financial-support/,Masters,All Fields,24000,10000,14000,3.2,2026-01-15,"Transcripts|GRE|TOEFL 80+|SOP|3 References","gradadm@psu.edu","",+1 814 865 5471,"1.Apply to Penn State Graduate School|2.Fellowship auto-considered on merit|3.Upload academic documents and scores|4.Provide SOP and references|5.Award decisions by April 2026",true,false
University of Washington,https://www.washington.edu,Seattle,USA,47.6553,-122.3035,"1410 NE Campus Pkwy, Seattle WA 98195",UW Graduate School Scholarship,https://grad.uw.edu/graduate-student-funding/funding-information-for-students/fellowships/,Masters,All Fields,16000,8000,8000,3.3,2026-01-15,"Transcripts|GRE|TOEFL 76+|SOP|3 References","gograd@uw.edu","",+1 206 543 5929,"1.Apply for UW Masters programme|2.Scholarship auto-considered|3.Upload academic transcripts and test scores|4.Submit SOP and references|5.Award decisions with admissions",true,false
Rice University,https://www.rice.edu,Houston,USA,29.7174,-95.4018,"6100 Main St, Houston TX 77005",Rice Graduate Fellowship,https://graduate.rice.edu/admissions/financial-support,Masters,All Fields,52000,15000,37000,3.5,2026-01-01,"Transcripts|GRE|TOEFL 100+|SOP|3 References","grad_admissions@rice.edu","",+1 713 348 4002,"1.Apply to Rice University via graduate portal|2.Fellowship auto-considered|3.Upload all academic documents|4.Submit SOP and references|5.Award with admissions decision by April 2026",true,false
University of Notre Dame,https://www.nd.edu,Notre Dame,USA,41.7056,-86.2353,"Notre Dame, IN 46556",Notre Dame Graduate Merit Award,https://graduateschool.nd.edu/funding/fellowships/,Masters,All Fields,56000,15000,41000,3.5,2026-01-01,"Transcripts|GRE|TOEFL 80+|SOP|3 References|Interview","gradadm@nd.edu","",+1 574 631 7706,"1.Apply to Notre Dame Graduate School|2.Merit award auto-considered|3.Upload academic documents|4.Submit SOP and references|5.Possible interview for selected candidates",true,false
Emory University,https://www.emory.edu,Atlanta,USA,33.7904,-84.3243,"201 Dowman Drive, Atlanta GA 30322",Emory Graduate Fellowship,https://gs.emory.edu/funding/fellowships/index.html,Masters,All Fields,54000,15000,39000,3.4,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","graduate.admissions@emory.edu","",+1 404 727 6028,"1.Apply to Emory Graduate School|2.Fellowship auto-considered in application|3.Upload academic documents and test scores|4.Provide SOP and 3 references|5.Award decisions by April 2026",true,false
