uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_gbp,scholarship_amount_gbp,after_scholarship_fee_gbp,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
Coventry University,https://www.coventry.ac.uk,Coventry,United Kingdom,52.4081,-1.5042,"Priory Street, Coventry CV1 5FB",Coventry International Scholarship,https://www.coventry.ac.uk/study-at-coventry/student-support/financial-support/scholarships-bursaries-and-discounts/international-scholarship/,Masters,All Fields,16000,3000,13000,2.8,2026-08-31,"Transcripts|IELTS 6.0+|Personal Statement","international@coventry.ac.uk","",+44 24 7765 7777,"1.Apply for Coventry Masters programme|2.Receive unconditional offer|3.International scholarship auto-applied|4.Reduction shown in fee invoice|5.No separate application required",true,false
Keele University,https://www.keele.ac.uk,Keele,United Kingdom,52.9985,-2.2742,"Keele, Staffordshire ST5 5BG",Keele International Masters Scholarship,https://www.keele.ac.uk/study/fees-and-funding/scholarships-bursaries/international/,Masters,All Fields,16500,4000,12500,3.0,2026-07-31,"Transcripts|IELTS 6.0+|SOP","international@keele.ac.uk","",+44 1782 732000,"1.Apply for Keele Masters|2.Receive offer|3.Complete scholarship form online|4.Upload transcripts and SOP|5.Award notification within 3 weeks",true,true
University of Stirling,https://www.stir.ac.uk,Stirling,United Kingdom,56.1462,-3.9181,"Stirling FK9 4LA",Stirling International Masters Award,https://www.stir.ac.uk/study-with-us/scholarships/,Masters,All Fields,17000,4000,13000,3.0,2026-07-31,"Transcripts|IELTS 6.0+|Personal Statement","international@stir.ac.uk","",+44 1786 473171,"1.Apply for Masters at Stirling|2.Receive offer|3.Apply for International Masters Award online|4.Submit personal statement and transcripts|5.Rolling award decisions",true,true
University of Hull,https://www.hull.ac.uk,Hull,United Kingdom,53.7697,-0.3674,"Cottingham Road, Hull HU6 7RX",Hull International Scholarship,https://www.hull.ac.uk/choose-hull/student-life/finance/scholarships-and-bursaries,Masters,All Fields,16000,3000,13000,2.8,2026-08-31,"Transcripts|IELTS 6.0+|SOP","international@hull.ac.uk","",+44 1482 346311,"1.Apply for Hull Masters|2.Receive offer|3.Apply online for international scholarship|4.Submit SOP and transcripts|5.Award with conditional offer",true,true
Northumbria University,https://www.northumbria.ac.uk,Newcastle upon Tyne,United Kingdom,54.9783,-1.6178,"Ellison Place, Newcastle upon Tyne NE1 8ST",Northumbria International Excellence Award,https://www.northumbria.ac.uk/study-at-northumbria/fees-funding/postgraduate-funding/scholarships-and-bursaries/,Masters,All Fields,16000,3000,13000,2.8,2026-08-31,"Transcripts|IELTS 6.5+|Personal Statement","international.admissions@northumbria.ac.uk","",+44 191 232 6002,"1.Apply for Northumbria Masters|2.Receive offer|3.No separate form — auto-considered|4.Award included in offer letter|5.Accept by deadline to secure scholarship",true,false
Oxford Brookes University,https://www.brookes.ac.uk,Oxford,United Kingdom,51.7516,-1.2232,"Headington Campus, Oxford OX3 0BP",Brookes International Scholarship,https://www.brookes.ac.uk/students/fees-and-funding/postgraduate/scholarships-and-bursaries/,Masters,All Fields,16000,3000,13000,2.8,2026-07-31,"Transcripts|IELTS 6.5+|SOP","study@brookes.ac.uk","",+44 1865 741111,"1.Apply for Oxford Brookes Masters|2.Receive offer|3.Apply for Brookes International Scholarship|4.Submit SOP and transcripts|5.Award decisions within 3 weeks",true,true
De Montfort University,https://www.dmu.ac.uk,Leicester,United Kingdom,52.6296,-1.1366,"The Gateway, Leicester LE1 9BH",DMU International Excellence Scholarship,https://www.dmu.ac.uk/study/fees-and-funding/scholarships-and-bursaries/international-excellence-scholarship.aspx,Masters,All Fields,15000,3000,12000,2.8,2026-08-31,"Transcripts|IELTS 6.0+|SOP","study@dmu.ac.uk","",+44 116 255 1551,"1.Apply for DMU Masters programme|2.Receive offer|3.Apply online for DMU International Excellence Scholarship|4.Submit supporting documents|5.Rolling award decisions",true,true
Middlesex University London,https://www.mdx.ac.uk,London,United Kingdom,51.5886,-0.2277,"The Burroughs, London NW4 4BT",Middlesex Global Excellence Scholarship,https://www.mdx.ac.uk/study-with-us/fees-and-funding/scholarships-and-bursaries,Masters,All Fields,15500,3000,12500,2.8,2026-08-31,"Transcripts|IELTS 6.0+|Personal Statement","enquiries@mdx.ac.uk","",+44 20 8411 5000,"1.Apply for Middlesex Masters|2.Receive offer|3.Apply for Global Excellence Scholarship online|4.Upload personal statement and transcripts|5.Award within 3 weeks",true,true
University of Portsmouth,https://www.port.ac.uk,Portsmouth,United Kingdom,50.7984,-1.0998,"University House, Winston Churchill Ave, Portsmouth PO1 2UP",Portsmouth International Masters Scholarship,https://www.port.ac.uk/study/fees-and-funding/scholarships-and-bursaries,Masters,All Fields,16500,4000,12500,3.0,2026-08-31,"Transcripts|IELTS 6.5+|SOP","international.admissions@port.ac.uk","",+44 23 9284 8484,"1.Apply for Portsmouth Masters programme|2.Receive conditional offer|3.Complete scholarship application online|4.Upload transcripts and SOP|5.Decision within 4 weeks",true,true
Aston University,https://www.aston.ac.uk,Birmingham,United Kingdom,52.4862,-1.8904,"Aston Triangle, Birmingham B4 7ET",Vice-Chancellor's International Scholarship (Masters),https://www.aston.ac.uk/study/fees-and-funding/scholarships-and-bursaries/postgraduate-scholarships,Masters,All Fields,17000,4000,13000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international@aston.ac.uk","",+44 121 204 3000,"1.Apply for Aston Masters programme|2.Receive offer|3.Apply for VC International Scholarship online|4.Upload personal statement and transcripts|5.Award within 3 weeks",true,true
University of Kent,https://www.kent.ac.uk,Canterbury,United Kingdom,51.2968,1.0650,"Canterbury CT2 7NZ",Kent International Masters Scholarship,https://www.kent.ac.uk/scholarships/search,Masters,All Fields,17000,4000,13000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|SOP","information@kent.ac.uk","",+44 1227 764000,"1.Apply for Kent Masters programme|2.Receive offer|3.Apply for Kent International Scholarship|4.Submit SOP and transcripts|5.Rolling decisions from January 2026",true,true
University of Lincoln,https://www.lincoln.ac.uk,Lincoln,United Kingdom,53.2333,-0.5388,"Brayford Pool, Lincoln LN6 7TS",Lincoln International Masters Award,https://www.lincoln.ac.uk/studywithus/feesandfunding/scholarshipsandfunding/,Masters,All Fields,15000,3000,12000,2.8,2026-08-31,"Transcripts|IELTS 6.5+|SOP","international@lincoln.ac.uk","",+44 1522 882000,"1.Apply for Lincoln Masters|2.Receive offer|3.Apply for International Masters Award|4.Submit SOP and transcripts|5.Award within 3 weeks of complete application",true,true
University of Huddersfield,https://www.hud.ac.uk,Huddersfield,United Kingdom,53.6455,-1.7797,"Queensgate, Huddersfield HD1 3DH",Huddersfield International Scholarship,https://www.hud.ac.uk/study/fees/scholarships-and-bursaries/,Masters,All Fields,14500,3000,11500,2.8,2026-08-31,"Transcripts|IELTS 6.0+|SOP","internationaloffice@hud.ac.uk","",+44 1484 422288,"1.Apply for Huddersfield Masters|2.Receive offer|3.No separate form — auto-considered|4.Scholarship included in offer letter|5.Accept by stated deadline",true,false
Glasgow Caledonian University,https://www.gcu.ac.uk,Glasgow,United Kingdom,55.8653,-4.2506,"Cowcaddens Road, Glasgow G4 0BA",GCU International Masters Scholarship,https://www.gcu.ac.uk/international/scholarships,Masters,All Fields,16000,4000,12000,2.8,2026-07-31,"Transcripts|IELTS 6.0+|Personal Statement","international@gcu.ac.uk","",+44 141 331 3000,"1.Apply for GCU Masters|2.Receive offer|3.Apply for GCU International Scholarship|4.Upload transcripts and personal statement|5.Award within 4 weeks",true,true
University of Westminster,https://www.westminster.ac.uk,London,United Kingdom,51.5247,-0.1464,"309 Regent Street, London W1B 2HW",Westminster International Scholarship,https://www.westminster.ac.uk/study/fees-and-funding/scholarships-and-awards/international-scholarships,Masters,All Fields,16000,4000,12000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|SOP","course-enquiries@westminster.ac.uk","",+44 20 7911 5000,"1.Apply for Westminster Masters programme|2.Receive offer|3.Apply for Westminster International Scholarship|4.Upload SOP and transcripts|5.Award within 3 weeks",true,true
Robert Gordon University,https://www.rgu.ac.uk,Aberdeen,United Kingdom,57.1450,-2.0976,"Garthdee Road, Aberdeen AB10 7QB",RGU International Scholarship,https://www.rgu.ac.uk/study/scholarships,Masters,Engineering|Business|Health,17000,4000,13000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international@rgu.ac.uk","",+44 1224 262728,"1.Apply for RGU Masters online|2.Receive offer|3.Apply for international scholarship via applicant portal|4.Submit personal statement and transcripts|5.Rolling decisions",true,true
Teesside University,https://www.tees.ac.uk,Middlesbrough,United Kingdom,54.5727,-1.2354,"Middlesbrough TS1 3BX",Teesside International Masters Award,https://www.tees.ac.uk/sections/study_and_courses/fees_and_funding/scholarships.cfm,Masters,All Fields,14000,3000,11000,2.8,2026-08-31,"Transcripts|IELTS 6.0+|SOP","international@tees.ac.uk","",+44 1642 218121,"1.Apply for Teesside Masters|2.Receive offer|3.Apply for International Masters Award online|4.Upload SOP and transcripts|5.Award within 3 weeks",true,true
University of the West of England,https://www.uwe.ac.uk,Bristol,United Kingdom,51.4999,-2.5491,"Frenchay Campus, Bristol BS16 1QY",UWE International Excellence Scholarship,https://www.uwe.ac.uk/study/fees-and-funding/postgraduate-scholarships,Masters,All Fields,16000,3000,13000,3.0,2026-08-31,"Transcripts|IELTS 6.5+|SOP","international.admissions@uwe.ac.uk","",+44 117 965 6261,"1.Apply for UWE Masters|2.Receive offer|3.Apply for UWE International Excellence Scholarship|4.Submit SOP and transcripts|5.Rolling merit-based decisions",true,true
Bournemouth University,https://www.bournemouth.ac.uk,Bournemouth,United Kingdom,50.7436,-1.8963,"Fern Barrow, Poole BH12 5BB",BU Global Scholarship (Masters),https://www.bournemouth.ac.uk/study/postgraduate/fees-funding/scholarships-bursaries,Masters,All Fields,15000,3000,12000,2.8,2026-08-31,"Transcripts|IELTS 6.5+|SOP","international@bournemouth.ac.uk","",+44 1202 524111,"1.Apply for Bournemouth Masters|2.Receive offer|3.Apply for BU Global Scholarship|4.Upload transcripts and SOP|5.Award decisions monthly",true,true
University of Greenwich,https://www.gre.ac.uk,London,United Kingdom,51.4831,-0.0044,"Old Royal Naval College, Park Row, Greenwich SE10 9LS",Greenwich International Masters Scholarship,https://www.gre.ac.uk/study/fees-and-funding/scholarships-bursaries,Masters,All Fields,15500,3000,12500,2.8,2026-08-31,"Transcripts|IELTS 6.0+|SOP","international@gre.ac.uk","",+44 20 8331 8000,"1.Apply for Greenwich Masters|2.Receive offer|3.Apply online for International Scholarship|4.Submit SOP and transcripts|5.Award within 3 weeks of complete application",true,true
